Book-Title,1st to Die: A Novel,A Heartbreaking Work of Staggering Genius,A Map of the World,A Painted House,A Prayer for Owen Meany,A Time to Kill,ANGELA'S ASHES,Angela's Ashes (MMP) : A Memoir,Angels &amp; Demons,Balzac and the Little Chinese Seamstress : A Novel,Bel Canto: A Novel,Black Notice,Chicken Soup for the Soul (Chicken Soup for the Soul),Cold Mountain : A Novel,Congo,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Fahrenheit 451,Fall On Your Knees (Oprah #45),Girl with a Pearl Earring,Good in Bed,Harry Potter and the Chamber of Secrets (Book 2),Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),House of Sand and Fog,Icy Sparks,Interview with the Vampire,Into Thin Air : A Personal Account of the Mt. Everest Disaster,Jurassic Park,Life of Pi,Little Altars Everywhere: A Novel,Lucky : A Memoir,Me Talk Pretty One Day,Message in a Bottle,Midnight in the Garden of Good and Evil: A Savannah Story,Mystic River,Nickel and Dimed: On (Not) Getting By in America,One for the Money (Stephanie Plum Novels (Paperback)),Red Dragon,SHIPPING NEWS,STONES FROM THE RIVER,She's Come Undone (Oprah's Book Club (Paperback)),She's Come Undone (Oprah's Book Club),Snow Falling on Cedars,Sphere,Summer Sisters,The Alienist,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",The Beach House,The Bean Trees,The Bonesetter's Daughter,The Book of Ruth (Oprah's Book Club (Paperback)),The Brethren,The Bridges of Madison County,The Catcher in the Rye,The Client,The Da Vinci Code,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,The Firm,The Five People You Meet in Heaven,The Girls' Guide to Hunting and Fishing,The Handmaid's Tale,The Horse Whisperer,The Hours: A Novel,The Joy Luck Club,The Kitchen God's Wife,The Lovely Bones: A Novel,The Nanny Diaries: A Novel,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),The Notebook,The Partner,The Pelican Brief,The Perfect Storm : A True Story of Men Against the Sea,The Pilot's Wife : A Novel,The Poisonwood Bible: A Novel,The Rainmaker,The Reader,The Red Tent (Bestselling Backlist),The Runaway Jury,The Secret Life of Bees,The Street Lawyer,The Summons,The Testament,Timeline,To Kill a Mockingbird,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Two for the Dough,Vinegar Hill (Oprah's Book Club (Paperback)),We Were the Mulvaneys,Where the Heart Is (Oprah's Book Club (Paperback)),While I Was Gone,White Oleander : A Novel,White Oleander : A Novel (Oprah's Book Club),Wicked: The Life and Times of the Wicked Witch of the West,Wild Animus
1st to Die: A Novel,1.0,-0.00997118045186335,0.23523397974222046,0.06396565709004402,0.08425446952299882,0.0458068265344511,0.13374206336534752,0.08111265665903696,-0.01135900834027253,0.12633154032268715,-0.00877692382781818,-0.006425716075401125,0.0590875254657236,-0.007669413657152323,0.1938012901013527,-0.014342518777436966,0.12059958977731194,0.1235816011609966,-0.011947275905081968,0.12134804751567091,0.08168249065107858,0.056822619973684,0.13250961291422056,0.1537606865208616,0.059025708257068044,0.04921691912176528,0.07218441142997437,0.035722622059636756,0.05505784117166368,0.09762292192873315,0.0661813225139344,-0.009184627482318554,-0.008011910740341337,0.06751359228608222,-0.008437171474784762,0.22135598255900554,-0.008063043343344142,0.11586458612011079,0.10529935991519732,0.0011951376760510248,0.07321964470296811,0.06596206565790765,-0.008001432257683322,0.1625236435376842,0.0658053865310523,0.10042309129395223,0.06606295672663294,-0.009764670195384953,0.08346000179783596,0.07250334666216658,0.07922705601603162,0.1737680315072805,0.05209113015076558,0.0891968729291337,0.08454657231745852,0.07605828954161481,0.0008651377130028555,0.11096583557711374,0.0439805079995164,0.08912150631198773,0.09730036648639989,0.19005128697631776,-0.010543211722969556,0.07874522672188806,0.05393068366261208,0.09550088276149489,-0.0100049191030244,0.12454627265831679,-0.008757528339217209,0.038159265527606484,0.08924756972470478,-0.012151946859256402,0.01651694184219112,0.057372995186064674,0.1336145691895143,0.10431024872988799,0.09042159304320307,0.09585493782223552,0.08346679297326644,0.07096596363121899,0.09887753805449345,0.13676337037039707,0.02534513279436787,0.06604067570159945,0.16643939355338,0.10528449465781245,0.11016137050489706,0.11007309794914977,-0.008411007975859183,0.16220645503197584,-0.010465423751891498,0.1611151771781123,0.04461034673578125
A Heartbreaking Work of Staggering Genius,-0.00997118045186335,1.0,0.0676638174865385,-0.012031522564675495,-0.010737354007791342,0.04597625395755081,-0.009601050082928997,-0.011337585583219269,-0.012959539362634274,0.10439312114860574,0.060225409209862406,-0.007331125915017595,-0.011495514494225154,-0.008750065604389368,-0.009022710152895578,0.022989290106385066,-0.011405037110029648,-0.011868606368043417,0.03932275385527874,0.054565066113814155,-0.009214478985773916,-0.014444306684422412,0.01131673655596778,-0.011955990876552627,-0.010620000721637506,-0.009138573293029847,-0.01073167492741032,0.0906868868665148,-0.011289686160752124,-0.010610633863240994,0.12196195237181082,0.004860719575243378,0.04331843689139893,-0.009883804873993356,-0.009626003658180686,0.01776824337164915,0.027239092236159033,0.04230141232051053,-0.010561277089954954,-0.010472613408646905,0.013826046556509672,0.07051435147892568,-0.00912886699213487,-0.013978152683096394,-0.010339187008015489,-0.011287909065589352,-0.009551687687519121,-0.011140552411743094,-0.009522878443455292,-0.01025843283119434,-0.010285487201325294,-0.00978592694010432,-0.013060623601010955,0.011045832750650133,0.022972148455379378,0.05093881932684874,-0.010596852606201097,-0.014208097644088412,0.050783837385219896,0.01383504922811613,0.023829213342528507,0.16199369487825419,0.04792122455144527,0.05289344508895024,0.017048193745295533,0.02344940340170292,0.049055006139245745,-0.012521086024665352,-0.009991500123218318,-0.012236113334357455,-0.009837871319122417,-0.013864206182226911,-0.013804607104860298,-0.008643051782259235,-0.010594955964711255,0.02161942257769287,-0.009581009558588673,0.07387906576539731,-0.009093423184911756,-0.011037880211760059,-0.009474910941063126,-0.011710526356975927,-0.013311761993637232,0.04922584707784427,0.05964368369330892,-0.008006026694789867,-0.010078005882995372,0.02625701810902589,-0.009596153614582404,0.03977064224902461,0.07459779760416484,0.05027528192802567,-0.015630114802447984
A Map of the World,0.23523397974222046,0.0676638174865385,1.0,0.14086334914198176,0.09871644043104358,0.027101570077459988,0.17381631297709244,0.09530731230633932,-0.009392939578456586,0.1735438745953652,0.08978660235423377,-0.0053135239482632315,0.11945703188528191,-0.006341956703070179,0.24641521371811326,0.061929053749612384,0.08453930156510132,0.16561802805903347,0.03889533708337074,0.21713557997825797,0.15916361964707162,0.06853372265811053,0.17576721421736266,0.2624588930052107,0.06999922185121336,0.07471075642343324,0.13572436892482012,0.10485259981678192,0.08413283699763707,0.11388204580273822,0.23999651078127296,0.013598604583214236,0.06585412387539546,0.07944992513060889,0.07449285434341141,0.19632692018593154,0.06525281498585384,0.14676441054536407,0.14251390815011963,0.0042052975502399345,0.11032682807987644,0.13306521564634252,-0.0066165080160271745,0.14815255274654976,0.07763145132443365,0.13938487946018116,0.07771027164234434,0.08446743320868336,0.0974830339427805,0.08522514195703282,0.09287741162462829,0.22631255502050424,0.08083892313981515,0.11792457438364011,0.11547227305750996,0.17402216209719798,0.0038638524335939655,0.14562291137852124,0.20362398171650195,0.10416490136413939,0.14000956452900995,0.24345528157024646,0.1293295821524454,0.17968896124929534,0.08042369549854425,0.12968927628026442,0.07527348602998805,0.1681266654125538,-0.007241735553203656,0.06060858562299626,0.10414916317758038,0.13329721732169292,0.08602503131176628,0.08604453054506676,0.16834057901144292,0.1900833290681396,0.10541422394174464,0.1710975105118102,0.09737403130146981,0.08368897475582264,0.11499987025230943,0.17165424235624058,-0.009648226884478776,0.1292076278604282,0.3074738143333257,0.15380741997911734,0.12799360538493104,0.20092489711364653,-0.00695519250840397,0.25870972331350073,-0.008654020669739436,0.2551272944102968,0.05497055910922985
A Painted House,0.06396565709004402,-0.012031522564675495,0.14086334914198176,1.0,0.054509964205185855,-0.012306037791705852,0.04245914384417696,0.052035782468658066,-0.013706116925482677,0.13102099178296242,0.0846772191763709,-0.0077534599166680625,0.0668753323512366,-0.009254142367528312,0.0738942891949872,-0.017306109255375877,-0.012062062377019605,0.0743153470825574,0.08900868685875209,0.13114424489343743,0.05337331941843641,0.03358414166141887,0.09218237133907296,0.04474349882723386,0.03682084605104104,-0.009665031339578394,0.04602478813444129,0.09630955398444688,-0.011940066250920993,0.06396659466252305,0.09428422921658546,0.073179872462047,-0.00966740952326952,0.043114387373826585,-0.010180541759420217,0.04434067495035143,-0.0097291076411392,0.04694156845423419,0.0905031163907019,-0.0037806580687260866,0.11326156872175783,0.04031823262214449,-0.009654765874791593,0.025231309230302826,0.04171223555962272,0.010877993881953386,0.04224084636326631,0.045451746504838506,0.05448718534427136,0.046457883721054735,0.11225658890943771,0.05336486954624753,-0.013813024459133768,0.024553812025273847,0.06015350900503928,0.18363988043536003,-0.004067535530649773,0.03318926323133118,0.025869314848579687,0.05807112009510772,-0.0020269945866408156,0.06797363820490941,-0.01272175249073489,0.050816704543210786,-0.00438768482556517,0.07518196603859677,0.05436166660090804,0.0248770125174574,-0.010567093869451224,0.04435137376667894,0.05841801952005416,0.0709607300408214,0.041996826652611084,-0.009140963656640856,0.14883145528748665,0.07557885918433416,0.1201605904497155,0.022571726726743478,0.05468145967802489,0.04503285966384086,0.06534998457112667,0.1480476581892822,-0.014078630517921508,0.041103819276418534,0.1415320725181349,-0.008467240610704876,0.0730186736280436,0.06536100555069019,-0.01014897210433137,0.054163434792861925,-0.012627891213847543,0.12334369661738129,0.024473211431666624
A Prayer for Owen Meany,0.08425446952299882,-0.010737354007791342,0.09871644043104358,0.054509964205185855,1.0,-0.010982341053887113,0.05707657871354926,0.12612472350077045,-0.012231820927899125,0.0643859293815695,-0.009451332136015215,-0.006919460397714923,0.10531304554767386,-0.008258722211134523,0.09636967024399029,-0.015444580731457649,-0.0107646088107232,0.03919720863004132,-0.012865290267377354,0.04574644276717647,0.0706473650098451,0.04778784391428209,0.11509278439691026,0.060856325604006105,0.05038180083311807,-0.008625413984938162,0.12690636675684602,0.02932761686814921,-0.010655735175947673,0.15255452946550305,0.05652684434757755,-0.009890363250713663,-0.008627536359729073,0.17023947957593719,-0.009085473619352028,0.05988931340673633,0.10314682405605742,0.06340707583592375,0.11784143024628901,-0.0007138975961820598,-0.011346629539434345,0.0559845572659272,0.06302578059271247,0.03710799666183807,0.05642231839003036,0.018027437533985443,0.05678312782820195,-0.010514975750698034,0.07216650129471242,0.13645421168030045,0.13849911123760983,0.07085711552446339,-0.012327228971955196,0.07689738565782117,0.027084001324754678,0.0654784907754932,-0.0010266106621943975,0.08962780590846264,0.036939852533367526,0.0770189271389662,0.0011708344367169189,0.08883009543069045,0.054882092080165853,0.1377120527869995,0.03946339037546859,0.03060452489201411,0.05603586917545282,0.03610071989298509,0.05748584256313895,-0.011549017520705748,0.07722930149633923,-0.013085687892381988,-0.013029435488541333,-0.00815771754789166,0.07421366817494716,0.04266043977378252,0.1569287071057899,-0.015157182194612094,0.16317649236563192,0.12502168614214718,0.17107481592550078,0.07858038215818954,-0.012564265162885065,0.0563338320834868,0.15398568959141465,-0.007556463400003421,0.09567592487096102,0.08906277872508178,-0.009057299748524738,0.07284939345295442,0.11717730619918827,0.11783523003435056,0.03679207693027149
A Time to Kill,0.0458068265344511,0.04597625395755081,0.027101570077459988,-0.012306037791705852,-0.010982341053887113,1.0,0.030533117738205478,0.06479225826297137,-0.013255228530087447,0.03184763111471847,-0.010242102800155917,-0.00749839532619403,-0.011757799982553831,-0.008949710016225644,0.06543127754499413,-0.0038413751389724067,-0.011665258236218763,-0.01213940444485737,-0.013941698754846495,0.12672658540573867,0.03293454407146079,0.03769107853189057,-0.012355215127605328,-0.012228782747424097,-0.010862310196061164,-0.009347082025718016,0.022714886538243658,-0.013614701195295047,-0.011547275401254345,-0.010852729620303005,-0.011953333589638595,-0.01071786661254739,-0.009349381974601001,0.047409887046457086,-0.00984563376446324,-0.011007056752596299,0.038352461562512284,-0.011665512859126556,0.03328689138115671,-0.010711560045036629,0.005271414406147151,-0.014061744309690464,-0.00933715426262828,0.12841328537774713,-0.010575089343198573,0.039494762023995954,-0.009769622175857357,0.06762035482537627,-0.009740155610483432,-0.010492492652176529,-0.010520164303829323,0.11506141822150223,0.024123072569124958,0.18059713774911587,0.02864043778434094,-0.010618098182833519,-0.010838633925511374,0.11561853539698075,-0.01172396037188069,-0.01066095648595267,-0.009863518245058737,0.04747988225593765,-0.012303246607679239,-0.010563140190920396,-0.021900371727097488,0.02906232936071391,-0.011675093913386812,0.01277538214936246,0.0724567903185204,0.24210412549716087,-0.010062335468538863,-0.014180536529217571,0.03839923670035171,0.16552819450546596,-0.010836694009617433,0.026788259979797457,0.2192303143291041,-0.016425347873062993,-0.009300901757691746,-0.011289724163843181,0.07123965248661157,0.06458573230565605,0.014902388330208455,0.17249080749157342,-0.010252875790101488,0.013893686327640042,0.017770187519609983,-0.015359707582504352,0.013453733144316202,-0.012630775284527924,-0.01221247307334914,0.0601840227144382,-0.015986736708814422
ANGELA'S ASHES,0.13374206336534752,-0.009601050082928997,0.17381631297709244,0.04245914384417696,0.05707657871354926,0.030533117738205478,1.0,0.05472302090848332,-0.010937361779164748,0.10397673068059812,-0.008451124282801207,-0.006187193397656263,0.0391352687721593,-0.007384724906393499,0.14133118185128365,-0.013810124263851687,0.04160538939377232,0.09063015040469598,0.054434430749810386,0.08790054508933531,0.1280373540078875,0.03687234671937749,0.09687044822486648,0.11236439050139646,0.03928865904894867,0.0371858016993922,0.04855504410151601,0.07959259418538674,0.0414322114208076,0.06654472243494686,0.044101259447585237,-0.008843693971490365,-0.0077145084926829345,0.045447741453524815,-0.008123983542242547,0.10981734661847489,-0.007763743052690177,0.0825381003238102,0.18966441564402708,-0.0015130296779160076,0.055566993703125823,0.0434825129190204,-0.0077044189714594,0.08004374895265672,0.044139070137624775,0.16175757094222706,0.044498175456718164,-0.00940220549028932,0.05678892126378365,0.048886754347664346,0.05362835736805442,0.20995262521596061,0.10292136527168996,0.10625648912176316,0.059491909264651414,0.051369304374047874,0.07196773352836298,0.07946027478303741,0.028475468560896996,0.06058396797239908,0.0739199023284424,0.13911854872593998,-0.010151847544614285,0.05327867567695495,0.08930948987442577,0.0680165947545187,-0.00963353635484951,0.13525056127546844,0.0613828730009009,0.02802619846911247,0.06080470113948066,-0.011700866408350838,0.010801166091323859,0.04366224984575172,0.09569957437688885,0.121701035863558,0.061691501513283724,0.03184059674273491,0.056890368332567276,0.04762576998412337,0.06768622385710685,0.09751465414209429,0.03753081314183157,0.18478528795336613,0.12058235700009746,0.1191124523120083,0.1811478101596861,0.15066575280482594,0.031690811659117274,0.11783188393776584,-0.010076947064197215,0.050843881999722534,0.02798224023612264
Angela's Ashes (MMP) : A Memoir,0.08111265665903696,-0.011337585583219269,0.09530731230633932,0.052035782468658066,0.12612472350077045,0.06479225826297137,0.05472302090848332,1.0,-0.012915595081249925,0.061656541373445194,-0.009979673473534375,-0.007306266924967145,0.09419874456315647,-0.008720395155904156,0.145831001076165,-0.016307952193136143,-0.011366363963867728,0.03716354114856177,-0.01358447615245873,0.05050832359108304,0.06794541471420126,0.05061766779418273,0.044963425669205574,0.05821089133251971,0.04813458203430938,-0.00910758546043771,0.11394431338614637,0.02745544599167075,0.030091869679577728,0.13847118909561482,0.05402362266457169,-0.010443246978978828,-0.009109826478645163,0.05560732903127815,-0.009593363006261992,0.05736539073675549,0.06813441359759839,0.06073398109225943,0.027702363824028218,-0.0015225556355818375,-0.010203860557170895,0.053333383070291125,-0.009097912072473194,0.04195098207013203,0.054028629994359686,0.016630902324154602,0.05444167049652067,-0.0031098670031197164,0.06939772696994191,0.059803754877156196,0.12455004820524083,0.06810409470512654,-0.013016336554803646,0.04239824663626855,0.02486533343584661,0.06282857258001232,-0.0018363656898521257,0.08767369255350108,0.03500136076121379,0.07404341518474813,0.0003751437367594435,0.08565542983986023,0.04365399178851427,0.12382838052305085,0.0009709480184548156,0.03311504101909969,-0.011375947625391465,0.06860599648370566,-0.009957620115559037,-0.012194622105975814,0.07429422104366842,-0.013817194281526191,0.023430626089980706,-0.008613744205121563,0.07130290173370553,0.040198524826558106,0.14140987283925716,-0.01600448771710104,0.14589629282552566,0.1121878163437845,0.15429102221268856,0.1296737683567815,-0.013266623366530098,0.12047272589137005,0.13986028711792017,-0.007978879195175714,0.09220670418475976,0.04660047952998857,-0.009563614180668364,0.06983794434382458,-0.011899557732861298,0.1139228109587933,0.034527964230182555
Angels &amp; Demons,-0.01135900834027253,-0.012959539362634274,-0.009392939578456586,-0.013706116925482677,-0.012231820927899125,-0.013255228530087447,-0.010937361779164748,-0.012915595081249925,1.0,-0.013409657088062304,-0.011407364491954045,-0.008351500688838814,-0.013095505155683513,-0.009967933953057385,-0.010278526236023532,-0.018640966087498854,-0.012992434775336499,-0.013520525415506225,-0.015527869856093916,0.026422458370961813,0.06040116647788243,0.027451472606247827,0.012437815135843102,-0.013620072441634034,-0.01209813395245875,-0.010410515661094006,-0.012225351410902124,-0.015163669220485605,-0.012861028829849103,-0.012087463378080717,0.047052481093096496,-0.011937256773444212,-0.010413077279126267,-0.011259471487785255,-0.010965788490602969,-0.012259348574257527,-0.010479534303400156,-0.012992718367131414,-0.012031236936075069,-0.01193023269687593,-0.01369490956923155,-0.015661573200657468,-0.0103994583992832,-0.01592368663624212,-0.011778235488029752,-0.012859004391632132,0.07731012048192545,-0.012691138062453311,-0.010848309905212499,-0.011686241629082793,-0.011717061532246912,0.07831142860052125,0.04088545276218808,-0.013141877471618168,0.12129918005056078,-0.011826137517492329,-0.012071763991793279,0.04399057228532542,-0.013057815554168488,-0.011873871883640195,-0.01098570771938662,-0.009992244587951195,-0.013703008183637637,0.0428471427198674,0.08922200978972841,0.04742731708649394,0.11376194861431399,-0.014263819742311985,-0.011382156182948409,-0.013939183438557969,-0.011207144721120419,0.03323082980391751,0.029481034829144475,-0.009846025528676862,0.06317947500537426,0.018903241026514195,-0.010914531936276626,-0.01829408801601951,-0.010359081384364865,0.0431596852392684,-0.010793666098256532,-0.0133404432103135,-0.015164545084648552,0.05348604491158155,-0.01141936314353719,-0.009120336798394645,-0.011480702152659146,0.023639927806430032,-0.010931783801205635,-0.014067800362673726,-0.013601907187823566,0.10720277038990002,0.058957028934870606
Balzac and the Little Chinese Seamstress : A Novel,0.12633154032268715,0.10439312114860574,0.1735438745953652,0.13102099178296242,0.0643859293815695,0.03184763111471847,0.10397673068059812,0.061656541373445194,-0.013409657088062304,1.0,0.25268186408328086,-0.0075857545425757926,0.04385205947382842,0.06332233997393265,0.08630009614426352,0.06627249802855431,0.027185029584562048,0.10260615850851854,0.12346833292966916,0.09863173277751307,0.19143017234012255,0.09706306546305232,0.10971431866426383,0.05340781626171812,0.04408962985676287,-0.009455979159798213,0.09119441020189127,0.1397216655874115,-0.011681805642261291,0.07520273249955352,0.11110665389846407,0.006327474888616543,0.04926176283437329,0.051172676160935564,-0.009960339219834575,0.09531363542899113,-0.009518669507186436,0.10926629993594254,0.0249299124115282,-0.002474438024562692,-0.01243922815139072,0.19467312680833354,-0.009445935734414587,0.031401677192298534,0.04964634877865575,0.07646251656274394,0.05011245936171225,0.041787442788262824,0.06414423825126388,0.05507152991190278,0.06048207613681327,0.06290452091577525,0.05761537594908107,0.03019165455748911,0.06659031298223479,0.1265349319708623,0.054504705441623856,0.09582956499519558,0.1632949576472906,0.06841199029683541,-0.0006115469916156952,0.20299522978869008,0.054658237096837814,0.13084604637100491,0.04062584932212524,0.11774432393827274,0.055875366520913454,0.03073693415320436,0.04389716201037124,-0.012661104635978918,0.06870571945942157,0.05513586696498831,0.04337972270660645,-0.008943246928099393,0.19095881122827488,0.1573554091475219,0.06973632018096863,0.10256089018695859,0.06429068503106579,0.05357651097588066,0.07658678737628537,0.0696115849572311,-0.013774113305852159,0.15907949714645372,0.1542572551491874,0.10486237675229584,0.20697208917289606,0.11921132982818788,0.0894252729784688,0.11906788541659317,0.07668350737739338,0.2537856602818393,0.030825976931528894
